股票代码,股票名称,当前价,涨跌幅,市值,市盈率
UNT,Unit Corporation,22.83,0.26,1.2307077E9,9.99
UNP,联合太平洋,136.01,0.26,1.052150821E11,25.94
TYL,"Tyler Technologies, Inc.",227.13,0.26,8.6609158E9,54.19
RSG,共和废品处理,65.72,0.26,2.16080579E10,17.39
NCB,Nuveen California Municipal Value Fund 2  of Beneficial Interest,15.47,0.26,5.08526E7,11.36
LE,"Lands' End, Inc.",19.45,0.26,6.233602E8,22.05
IPHI,Inphi Corporation  $0.001 par value,30.36,0.26,1.3063476E9,
INT,全球燃料服务,27.51,0.26,1.8576688E9,
IAK,iShares U.S. Insurance ETF,65.42,0.26,1.272375E8,9.64
HTRB,Hartford Total Return Bond ETF,39.26,0.26,1.96301E7,
HST,HOST酒店,19.47,0.26,1.42564307E10,25.55
HEI.A,海科航空,77.6,0.26,4.9131926E9,73.71
CP,加拿大太平洋铁路,177.14,1.08,2.50724276E10,14.18
COG,卡波特油气,23.33,1.08,1.06432156E10,104.91
AGX,"Argan, Inc.",37.5,1.08,5.775624E8,8.14
URGN,乌龙制药,57.46,1.07,8.649616E8,
STBZ,State Bank Financial Corporation.,32.1,1.07,1.2405305E9,6.54
SMN,基础材料2X空-ProShares,13.17,1.07,5092400.0,
NFBK,"Northfield Bancorp, Inc.",16.01,1.07,7.781762E8,29.89
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificates Series 2003-1",27.45,1.07,4.074E7,
EZT,"Entergy Texas Inc First Mortgage Bonds 5.625% Series due June 1, 2064",25.44,1.07,1.35918E8,15.94
DHXM,DHX Media Ltd,2.83,1.07,9.6314E7,140.0
DHI,DR Horton,43.47,1.07,1.61683462E10,16.05
CUZ,卡津斯不动产信托基金,8.49,1.07,3.5301182E9,16.15
YRD,宜人贷,36.35,1.06,2.176052859E9,11.09
WBA,沃尔格林-联合博姿,64.6,1.06,6.33872637E10,15.98
SWIN,ALPS/Dorsey Wright Sector Momentum ETF,30.48,1.06,1.05561E7,
ROST,罗斯百货,78.14,1.06,2.92758738E10,21.78
PII,北极星,120.91,1.06,7.546668E9,44.48
HOMB,"Home BancShares, Inc.",22.84,1.06,3.9234278E9,22.83
FRAN,Francesca's Holdings Corporation,4.77,1.06,1.662161E8,10.98
DWCH,数据观察,9.5,1.06,1.161101E8,
DDS,狄乐百货,73.36,1.06,1.7355868E9,9.67
CSTE,Caesarstone,19.0,1.06,6.457548E8,25.75
CLNS,"Colony NorthStar, Inc.",5.74,1.06,2.9156285E9,
VOYA,"Voya Financial, Inc.",53.06,1.05,9.0068457E9,
VOXX,奥迪富斯,4.8,1.05,1.04206E8,
VNOM,Viper Energy Partners LP,28.92,1.05,3.2593041E9,26.75
SZC,Cushing Renaissance Fund (The)  of Beneficial Interest,17.31,1.05,1.002766E8,
SQBG,"Sequential Brands Group, Inc.",1.92,1.05,1.203595E8,
SBSI,"Southside Bancshares, Inc.",35.48,1.05,1.2306949E9,19.4
NAVI,Navient Corporation,13.42,1.05,3.5137259E9,12.77
EGOV,NIC Inc.,14.45,1.05,9.598197E8,18.57
EEP,安桥能源合作伙伴,10.56,1.05,3.4121038E9,17.42
DTV,直播电视,51.93,1.05,6.1668E8,16.27
DK,"Delek US Holdings, Inc.",47.25,1.05,3.9251961E9,11.46
DEMS,Democratic Policies Fund,21.11,1.05,2089000.0,
DAVE,"Famous Dave's of America, Inc.",7.68,1.05,5.6751E7,
BGR,贝莱德能源资源信托,14.48,1.05,4.273969E8,19.11
YNDX,Yandex,34.07,1.04,1.086553118357E10,69.53
UNIT,Uniti Group Inc.,16.52,1.04,2.8740016E9,
TYO,Direxion Daily 10-Yr Treasury Bear 3x Shrs,15.6,1.04,2.3932E7,
SRCL,"Stericycle, Inc.",60.99,1.04,5.1652242E9,223.56
R,瑞德系统,74.82,1.04,3.9340995E9,4.98
MKL,Markel Corp,1165.08,1.04,1.60254678E10,44.68
LNG,Cheniere Energy,58.35,1.04,1.37352591E10,
GBT,全球血液疗法,43.8,1.04,2.1992202E9,
ARCB,ArcBest Corporation,34.1,1.04,8.65401E8,15.0
SRCLP,"Stericycle, Inc. - Depository Receipt",47.13,1.03,3.17164E8,31.76
SKIS,"Peak Resorts, Inc.",4.9,1.03,6.78146E7,
QABA,社区银行ETF-First Trust,54.68,1.03,3.220141E8,
PDLI,"PDL BioPharma, Inc.",2.93,1.03,4.460555E8,4.08
MSCC,美高森美集成电路,63.77,1.03,7.4453897E9,36.28
DD-B,E.I. du Pont de Nemours and Company Preferred Stock,102.65,1.03,1.699768E8,27.32
CVX,雪佛龙,123.57,1.03,2.34724626562E11,25.48
CSFL,CENTERSTATE BANK CORPORATION,27.53,1.03,2.2788575E9,28.68
BUR,Burcon NutraScience Corp - Ordinary Shares,0.5102,1.03,2.21905E7,
BF.B,百富门,55.05,1.03,1.6991462E10,13.07
PFSW,"PFSweb, Inc.",9.92,1.02,1.868276E8,
OXY,西方石油,77.25,1.02,5.85506988E10,44.98
JVAL,JPMorgan U.S. Value Factor ETF,25.69,1.02,2.67015E7,
HBP,"Huttig Building Products, Inc.",5.95,1.02,1.530727E8,
GGT-E,Gabelli Multi-Media Trust Inc. (The) 5.125% Series E Cumulative Preferred Stock,23.8,1.02,4.7122E7,
FEI,第一信托MLP能源收益基金,12.85,1.02,5.950351E8,
FBC,弗拉格斯塔万通金控,33.6,1.02,1.9079199E9,30.51
EOI,伊万增强股票收益基金1期,14.85,1.02,5.758438E8,163.33
ENPH,"Enphase Energy, Inc.",4.96,1.02,4.705216E8,
DBO,原油基金-PowerShares,11.83,1.02,3.606685E8,
CLDR,Cloudera,14.89,1.02,1.9081551347E9,
CLB,Core Laboratories N.V.,122.74,1.02,5.368262E9,64.63
SHG,新韩金融,42.99,1.01,2.01819344E10,9.0
RIV,RiverNorth机会基金,21.0,1.01,1.106117E8,
PPSI,"Pioneer Power Solutions, Inc.",6.0,1.01,5.17978E7,
PB,"Prosperity Bancshares, Inc.",75.26,1.01,5.2031607E9,19.01
LGF.A,Lions Gate Entertainment Corporation Class A Voting Shares,26.02,1.01,2.109336E9,12.04
JQUA,JPMorgan U.S. Quality Factor ETF,25.92,1.01,2.6943E7,
CRL,查尔斯河,106.52,1.01,5.0567253E9,41.52
AIMT,"Aimmune Therapeutics, Inc.",31.95,1.01,1.835308E9,
ZIXI,Zix Corporation,5.05,1.0,2.718698E8,
UHN,美国燃料油基金,20.2,1.0,8000000.0,7.78
TPR,蔻驰,53.56,1.0,1.51073156E10,32.53
PSO,培生,11.11,1.0,8.5871932E9,16.42
LHO,拉萨尔饭店,31.18,1.0,3.4946385E9,20.05
GIL,吉登运动服,29.39,1.0,6.3739458E9,18.07
FRME,第一招商股份,43.46,1.0,2.1302332E9,20.3
CRR,卡波陶瓷,8.12,1.0,2.204029E8,
COLB,哥伦比亚银行系统,44.35,1.0,3.2144772E9,23.61
CNS,科恩-斯蒂尔斯金融,39.36,1.0,1.821384E9,19.88
CFR,库伦佛寺银行,108.87,1.0,6.8728085E9,19.56
TVPT,Travelport Worldwide Limited,17.3,0.99,2.1483438E9,15.43
SPYB,SPDR S&P 500 Buyback ETF,62.51,0.99,1.857E7,
RCD,PowerShares S&P 500 Equal Weight Consumer Discretionary Portfolio,98.74,0.99,8.31037E7,23.68
PLX,"Protalix BioTherapeutics, Inc. (DE)",0.43,0.99,6.20128E7,
PKG,Packaging Corporation of America,117.28,0.99,1.09568448E10,16.43
ORG,有机产品ETF,33.64,0.99,1.3324E7,
LGCYP,Legacy Reserves LP - 8% Series A Fixed-to-Floating Rate Cumulative Redeemable Perpetual Preferred Units,11.18,0.99,2.5461E7,
IBOC,国际银行,40.7,0.99,2.6640112E9,17.08
EQWM,PowerShares Russell Midcap Equal Weight Portfolio,47.83,0.99,2.36785E7,
ACST,"Acasti Pharma, Inc.",1.02,0.99,2.58607E7,
XRT,美国零售业ETF-SPDR,44.41,0.98,3.562479E8,15.7
XLRN,Acceleron Pharma Inc.,35.94,0.98,1.6287879E9,
TPZ,"Tortoise Power and Energy Infrastructure Fund, Inc",18.5,0.98,1.273484E8,
OXM,牛津工业,76.54,0.38,1.2839365E9,19.7
OBAS,阿贝斯,8.0,0.38,4.15785E7,
NWHM,New Home Company Inc. (The),10.51,0.38,2.199527E8,12.77
MOAT,晨星护城河ETF-VanEck Vectors,41.98,0.38,1.382151E9,
JBGS,JBG SMITH PROPERTIES,34.77,0.38,4.0859569E9,
IXC,全球能源业ETF-iShares,37.0,0.38,1.349076E9,80.13
HDV,iShares Core High Dividend ETF,84.99,0.38,6.0496715E9,
GLOG-A,GasLog LP. 8.75% Series A Cumulative Redeemable Perpetual Preference Shares,26.7,0.38,1.2236E8,
FNB,F.N.B. Corporation,13.28,0.38,4.2703008E9,21.0
FIYY,Barclays ETN  FI Enhanced Global High Yield Exchange Traded Notes Series B,97.59,0.38,1.5145378E9,
ECL,艺康,149.12,0.38,4.28341153E10,28.96
ECCB,Eagle Point Credit Company Inc. 7.75% Series B Term Preferred Stock due 2026,26.1,0.38,4.85572E7,
DESC,Xtrackers Russell 2000 Comprehensive Factor ETF,34.61,0.38,1.0344E7,
CPTA,Capitala Finance Corp.,7.95,0.38,1.263914E8,
CEMI,"Chembio Diagnostics, Inc.",7.93,0.38,1.118853E8,
AGLE,"Aeglea BioTherapeutics, Inc.",7.9,0.38,1.666094E8,
AB,联博控股,26.3,0.38,2.5273041E9,11.96
TWM,美国小盘股2X空-ProShares,16.35,0.37,9.05632E7,
TPRE,Third Point再保险,13.65,0.37,1.4078856E9,5.15
